distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period)
0.683040936,63,30,13,1,10,96,15,29.97
0.256207675,70,30,11.6,1,10,50,23,29.8
0.165012407,64,28,12.3,1,10,66,10,29.92
0.810720268,55,28,6.6,0,10,83,22,30.1
0.693115519,74,30,9,1,10,78,11,29.9
0.263337117,64,26,8,3,10,55,10,29.94
1.01465798,54,10,4.8,0,10,86,0,30.29
0.514782609,53,27,9.4,4,9,83,14,29.88
0.892171344,64,28,6.4,0,10,62,7,30.2
0.272067715,73,30,10.3,2,10,55,20,29.91
0.753512133,61,27,15.8,4,10,90,13,29.87
0.41314554,46,22,10.4,0,10,70,5,30.18
0.701298701,57,27,23.5,2,10,80,29,30.02
0.605451937,65,28,11.1,1,10,81,15,30.01
0.692763938,63,27,13.5,4,10,84,16,29.98
0.711237553,49,29,13.2,0,10,65,10,30.04
0.440443213,58,28,9,4,10,90,0,30.3
0.972477064,51,18,11.8,3,10,86,6,30.1
0.399741268,73,29,7.9,0,10,63,0,29.88
0.504132231,63,5,2,1,6,50,0,30.04
0.093489149,57,27,6.6,4,8,87,5,30.25
0.054678007,71,29,12.5,1,10,42,22,29.98
0.134646962,47,32,6.6,1,10,71,3,30.12
0.440273038,48,3,2.7,1,10,83,3,30.5
0.68989547,57,27,12.3,1,10,80,8,29.92
0.371764706,65,27,13.6,4,10,84,6,29.87
0.056577086,50,28,5.9,1,10,41,0,30.03
0.741989882,55,12,2,0,10,77,0,30.19
0.729372937,52,27,10,4,9,96,14,30.12
0.803108808,46,4,4.2,4,6,93,0,30.21
0.662908681,61,28,15.4,1,10,77,14,29.88
0.148816234,63,32,7.9,1,10,73,6,29.87
0.312944523,49,29,13.2,1,10,50,18,30.11
0.489940828,58,28,15.8,2,10,51,22,29.93
1.008445946,55,36,3.3,3,9,77,0,30.01
0.129533679,46,4,4.2,4,10,68,0,30.2
0.410029499,52,32,5.2,3,10,62,0,30.14
0.73875,69,30,3.9,0,10,51,5,30.04
0.164821648,62,29,14.2,1,10,65,10,29.92
0.168302945,61,30,12.3,1,10,65,9,29.94
0.682042834,69,14,5,1,10,54,8,30.1
0.97761194,69,29,4.1,0,10,67,3,30.03
0.555248619,58,29,8,3,10,72,17,30.07
0.875181422,66,27,12.6,0,10,78,23,29.91
0.069371728,62,29,14.9,1,10,61,22,29.73
0.272409779,59,29,15.6,2,10,65,17,29.88
0.135048232,54,7,1.8,1,10,72,3,30.26
0.534822602,54,27,25.1,2,10,74,25,29.91
0.796448087,52,22,10.9,3,10,74,0,29.94
0.058168317,65,30,8.6,1,9,66,6,29.85
0.144977169,58,27,11.8,4,10,80,7,30.01
0.971851852,65,29,4.9,0,10,75,0,30.18
1.141114983,45,16,7.8,3,10,89,10,29.77
0.754530478,50,28,18.7,2,10,77,21,29.98
0.145927602,62,26,11.2,4,10,70,13,29.93
0.051252847,60,26,14.7,1,10,59,24,29.99
0.735909823,54,32,1.9,0,10,45,5,30.19
1.10851419,57,27,6.6,0,10,69,3,30.21
0.37485172,63,27,13.5,4,10,87,11,30.02
0.27824019,61,28,15.3,1,10,58,25,29.95
0.398717949,54,27,15.8,4,10,83,13,29.85
0.52496799,63,27,13.9,2,10,81,17,29.87
0.828571429,52,26,13.4,1,10,61,24,29.98
0.818181818,66,30,9.3,2,10,90,8,29.97
0.44137931,49,17,3.5,4,8,86,6,30.26
0.117391304,50,18,7.9,3,10,77,5,30.03
0.918055556,67,29,9.3,0,10,67,3,29.91
0.734375,51,12,4,0,9,86,6,30.35
0.574175824,66,29,7.3,1,10,70,16,29.95
0.310344828,61,29,11.4,1,10,75,23,29.81
0.806228374,51,25,10.3,2,10,74,14,29.95
0.06377858,59,23,9.8,4,10,75,13,30.14
0.756482525,62,26,14,4,10,81,13,29.93
0.894814815,65,29,4.9,0,10,72,9,30.04
0.208754209,56,17,4,1,10,56,0,30.01
0.560090703,61,29,14.4,4,10,80,10,29.92
0.897297297,62,24,9.6,4,10,75,10,30
0.094534712,64,28,6.4,0,10,14,5,30.22
0.759640103,69,28,7.5,0,10,49,6,29.86
1.052810903,59,9,9.5,1,10,71,0,30.29
0.118673647,49,12,5.1,4,10,71,0,30.19
0.832920792,65,30,8.6,4,10,93,10,29.82
0.751304348,51,10,2.4,4,10,89,3,30.38
0.406153846,49,13,16.6,4,4,93,22,29.73
0.170305677,62,27,14.6,0,10,47,5,30
0.203125,50,29,4.9,3,9,67,5,30.1
0.508333333,54,27,5.7,3,10,80,9,30.11
0.909774436,59,29,10.3,2,10,83,8,30.06
0.882044561,51,28,18,1,10,83,22,29.94
0.152099886,61,27,15.1,2,10,70,17,30.02
0.807646356,66,26,14,1,10,81,16,30
0.46345515,53,2,2.6,4,8,93,0,30
0.362989324,58,28,16.8,1,8,77,9,29.97
0.664827586,69,29,8.7,0,10,75,3,29.96
0.450229709,68,29,4.9,2,10,75,3,30.02
0.673501577,63,16,12.8,4,9,87,14,29.9
0.824827586,69,29,8.7,0,10,75,11,29.94
0.438095238,53,13,7.5,4,10,77,7,29.79
0.153846154,56,32,3.1,0,5,72,5,30.02
0.914246196,66,29,10.1,0,10,84,3,29.94
0.4969988,61,20,8.1,3,9,90,11,30.01
0.806094183,58,28,9,2,10,90,14,30.24
0.460496614,66,30,11.5,1,10,70,17,29.73
0.286792453,63,29,9.8,1,10,63,21,29.92
0.475806452,56,28,10.6,1,10,80,10,29.89
0.421875,50,29,4.9,1,10,83,9,30.18
0.577883472,61,28,15.3,0,10,86,8,30.02
0.147692308,49,13,16.6,4,10,83,24,29.7
0.459977452,63,32,7.9,1,10,70,8,29.87
1.009724473,52,29,4.8,0,10,80,5,30.31
0.169296987,65,28,11.1,3,10,57,7,30.01
0.746056782,63,16,12.8,4,10,84,7,29.99
0.258465011,66,29,11,1,10,63,24,29.81
0.865806452,56,21,9.6,4,10,86,10,29.98
0.401694915,55,34,2.1,4,9,83,0,29.85
0.957686883,51,28,9.5,1,10,86,6,30.07
0.051522248,61,29,14.2,1,10,59,14,29.9
0.64244186,54,20,17.3,3,10,75,18,29.91
0.777129522,74,30,9,0,10,67,5,29.88
0.206540448,54,6,7.4,0,7,64,6,30.03
0.789719626,60,29,15,4,10,86,9,29.97
0.606134969,65,30,11.1,1,10,83,6,29.9
1.07925801,55,12,2,0,10,59,0,30.24
0.55704698,60,28,12.6,1,10,83,18,29.94
0.859897172,69,28,7.5,0,10,75,8,29.82
0.423076923,56,32,3.1,0,4,93,3,30.1
0.688760807,66,28,10.5,4,10,90,0,30.05
0.737766625,61,27,8.1,1,10,86,9,29.97
0.957055215,51,15,12.6,4,10,89,9,29.59
0.46440678,63,26,16.3,3,10,75,21,29.95
0.554678692,61,28,15.4,1,10,83,16,29.84
0.060075094,62,28,11.6,2,10,57,24,29.92
0.472,61,26,11.2,2,9,80,14,29.97
0.556786704,58,28,9,3,10,86,22,30.24
0.157407407,61,28,14.6,1,10,72,17,30
0.956331878,62,27,14.6,0,10,83,15,29.91
0.173629243,53,28,6,0,10,37,3,30.07
0.762285714,61,26,11.2,3,10,78,3,30.02
0.702531646,55,32,5.3,3,10,86,10,29.84
1.082926829,57,28,10.2,3,10,80,10,30.27
0.170984456,56,18,9.9,4,9,86,10,29.94
0.513207547,63,29,9.8,1,10,78,16,29.93
0.571428571,62,30,13.7,1,10,93,10,30.01
0.13003096,49,21,8.1,2,10,71,7,29.98
0.692628651,59,20,8.6,4,6,96,9,30.18
0.059225513,60,28,12.2,3,10,63,17,29.94
0.391468005,61,27,8.1,1,9,80,0,29.94
0.488207547,56,27,19,2,10,62,25,30.02
0.506644518,57,29,9.3,1,9,83,16,30.09
0.749571184,48,4,3.8,4,4,89,6,30.18
0.608069164,66,28,10.5,1,10,93,22,30.07
0.145809414,60,30,11.4,1,9,68,8,29.89
0.091436865,66,27,12.6,0,10,55,24,29.95
0.180965147,62,28,9.9,1,10,65,0,30.03
0.415343915,57,27,12.6,1,9,86,3,30.11
0.641633729,63,21,10.5,3,10,78,7,29.75
0.477541371,62,28,12.8,2,9,87,13,29.94
0.432809773,49,12,5.1,4,10,74,0,30.19
0.16540404,62,30,12.1,1,10,70,13,30.03
0.920980926,49,29,22.1,4,10,86,10,29.95
0.5907173,62,28,8.4,2,10,75,11,29.96
1.055379747,62,23,8.1,2,10,83,5,30.07
0.467336683,55,14,1.9,0,10,31,0,30.15
0.133757962,55,16,10.3,3,10,83,11,29.96
0.15323496,62,27,15.8,1,10,56,17,30.05
0.478672986,63,28,13,3,9,81,13,29.98
0.18134715,42,27,2.4,3,10,61,3,30.17
0.200348432,45,16,7.8,4,10,80,6,29.89
0.354503464,53,24,12.7,4,10,83,9,29.96
0.636227545,70,31,4.4,0,10,35,9,29.97
0.14244186,54,20,17.3,3,9,83,17,29.91
0.35873388,58,29,12.9,3,10,86,5,29.98
0.294723295,53,20,8.8,4,10,77,11,29.92
0.163814181,63,26,19.3,1,10,63,26,29.99
0.565714286,62,28,16.1,3,10,93,14,30.02
1.134020619,53,33,3.7,3,9,83,7,30.08
0.166666667,61,29,9,4,10,72,3,29.93
0.678961749,52,22,10.9,4,10,86,16,29.92
0.431064572,47,20,8.7,1,10,77,7,30.05
0.821989529,47,13,3.6,4,10,71,3,29.89
1.025764895,54,32,1.9,0,10,59,0,30.21
0.661858974,60,30,4.6,2,10,72,0,30.29
0.208333333,54,27,5.7,4,9,83,9,30.14
0.665283541,66,29,10.1,0,10,90,5,29.92
0.263337117,62,28,10.6,2,10,59,18,29.94
0.757062147,62,26,14,3,10,81,9,29.95
0.12369338,47,29,4.9,1,10,68,0,30.25
0.979591837,48,29,16.2,3,10,68,18,29.84
0.467650397,62,28,10.6,2,10,65,16,29.95
0.713615023,46,22,10.4,4,10,61,14,30.14
0.064436183,61,29,13.4,1,10,63,20,29.88
1.097199341,69,14,5,0,10,48,3,30.07
0.134185304,53,20,4.5,3,3,93,0,29.99
0.812244898,63,21,7.3,3,10,81,6,29.99
0.459977452,65,26,8.6,2,10,72,16,29.91
0.061130334,52,25,13,4,10,77,17,30.02
0.101027397,53,28,6.9,4,3,96,7,30.18
0.311173975,50,28,5.9,2,10,57,14,30
0.262910798,62,27,12.8,2,10,70,21,29.83
0.58490566,63,26,11.6,4,10,84,9,29.89
0.764553687,73,29,7.9,0,10,70,6,29.85
0.563202247,52,27,11.5,2,10,83,14,30.07
0.568894952,65,28,10.3,4,10,87,14,30
0.513089005,43,29,8.4,1,10,59,14,29.91
0.821989529,48,26,8.9,2,10,80,7,29.89
0.594237695,64,27,16.1,4,10,84,16,30.02
0.264538198,59,27,10.9,3,10,70,13,29.91
0.101851852,60,29,11.3,1,10,59,14,30.05
0.286072773,61,27,8.1,1,10,63,14,29.95
0.59030303,55,27,12,1,10,77,10,30.15
0.12195122,47,28,21.1,3,6,96,25,29.79
0.062261753,78,29,6.6,3,10,36,5,29.94
0.783529412,58,27,16.6,0,10,77,22,30.04
0.877729258,62,27,14.6,0,10,67,11,29.97
0.202898551,58,27,10.2,4,10,84,9,29.98
0.389168766,52,27,17.2,3,10,80,15,30.27
0.949771689,50,7,3.8,3,10,93,5,30.15
0.43231441,62,27,14.6,1,10,75,9,29.96
0.867435159,66,28,10.5,3,10,93,21,30.1
0.818644068,55,34,2.1,3,9,90,0,29.92
0.091703057,62,27,14.6,0,10,36,16,29.97
0.160377358,63,26,11.6,3,10,70,15,29.96
0.515463918,53,33,3.7,4,6,69,3,30.1
0.372641509,63,26,11.6,4,10,81,8,29.93
